unicode_id,sign_grapheme,transliteration
U+120EF,𒃯,gaba crossing gaba
U+120F0,𒃰,gad
U+120F1,𒃱,gad / gad gar / gar
U+120F2,𒃲,gal
U+120F3,𒃳,gal gad / gad gar / gar
U+120F4,𒃴,galam
U+120F5,𒃵,gam
U+120F6,𒃶,gan
U+120F7,𒃷,gan₂
U+120F8,𒃸,gan₂ tenu
U+120F9,𒃹,gan₂ / gan₂
U+120FA,𒃺,gan₂ crossing gan₂
U+120FB,𒃻,gar
U+120FC,𒃼,gar₃
U+120FD,𒃽,gashan
U+120FE,𒃾,geshtin
U+120FF,𒃿,geshtin × kur
U+12100,𒄀,gi
U+12101,𒄁,gi × e
U+12102,𒄂,gi × u
U+12103,𒄃,gi crossing gi
U+12104,𒄄,gi₄
U+12105,𒄅,gi₄ / gi₄
U+12106,𒄆,gi₄ crossing gi₄
U+12107,𒄇,gidim
U+12108,𒄈,gir₂
U+12109,𒄉,gir₂ gunu
U+1210A,𒄊,gir₃
U+1210B,𒄋,gir₃ × a + igi
U+1210C,𒄌,gir₃ × gan₂ tenu
U+1210D,𒄍,gir₃ × igi
U+1210E,𒄎,gir₃ × lu + igi
U+1210F,𒄏,gir₃ × pa
U+12110,𒄐,gisal
U+12111,𒄑,gish
U+12112,𒄒,gish crossing gish
U+12113,𒄓,gish × bad
U+12114,𒄔,gish × tak₄
U+12115,𒄕,gish tenu
U+12116,𒄖,gu
U+12117,𒄗,gu crossing gu
U+12118,𒄘,gu₂
U+12119,𒄙,gu₂ × kak
U+1211A,𒄚,gu₂ × kak × igi gunu
U+1211B,𒄛,gu₂ × nun
U+1211C,𒄜,gu₂ × sal + tug₂
U+1211D,𒄝,gu₂ gunu
U+1211E,𒄞,gud
U+1211F,𒄟,gud × a + kur
U+12120,𒄠,gud × kur
U+12121,𒄡,gud / gud lugal
U+12122,𒄢,gul
U+12123,𒄣,gum
U+12124,𒄤,gum × she
U+12125,𒄥,gur
U+12126,𒄦,gur₇
U+12127,𒄧,gurun
U+12128,𒄨,gurush
U+12129,𒄩,ha
U+1212A,𒄪,ha tenu
U+1212B,𒄫,ha gunu
U+1212C,𒄬,hal
U+1212D,𒄭,hi
U+1212E,𒄮,hi × ash
U+1212F,𒄯,hi × ash₂
U+12130,𒄰,hi × bad
U+12131,𒄱,hi × dish
U+12132,𒄲,hi × gad
U+12133,𒄳,hi × kin
U+12134,𒄴,hi × nun
U+12135,𒄵,hi × she
U+12136,𒄶,hi × u
U+12137,𒄷,hu
U+12138,𒄸,hub₂
U+12139,𒄹,hub₂ × an
U+1213A,𒄺,hub₂ × hal
U+1213B,𒄻,hub₂ × kaskal
U+1213C,𒄼,hub₂ × lish
U+1213D,𒄽,hub₂ × ud
U+1213E,𒄾,hul₂
U+1213F,𒄿,i
U+12140,𒅀,i a
