unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+1258A [unverified],F₄,F₄@c@v,𒖊,LAK853^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP004 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+120B9,|GA₂×(A.DA.HA)|,|GA₂×(A.HA)|,𒂹,
U+124BE,|GA₂×(A.DA.HA)|,|GA₂×(HA.A)|,𒒾,
U+120E2,|GA₂×ZIZ₂|,|GA₂×PA|,𒃢,LAK676 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL097 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU278 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES335 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL290 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL054 [Hittite period (~1650–1180 BCE) | Hittite]; KWU816 [Ur III (~2112–2004 BCE) | Administrative]; MZL408 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE283 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP243 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA252 [Standard Babylonian (any period) | Akkado-Babylonian]; LAK677 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]
U+122A1,GIDIM,|SAG×TAB|,𒊡,ABZL426 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES191 [Early Dynastic (~2900–2340 BCE) | Ebla]; HZL052 [Hittite period (~1650–1180 BCE) | Hittite]; MZL830 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA576 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1210D,|GIR₃×(A.IGI)|,|GIR₃×IGI|,𒄍,LAK249 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL295 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES141 [Early Dynastic (~2900–2340 BCE) | Ebla]; HZL303 [Hittite period (~1650–1180 BCE) | Hittite]; RSP465 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA421n2 [Standard Babylonian (any period) | Akkado-Babylonian]; KWU464 [Ur III (~2112–2004 BCE) | Administrative]; MZL703 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA421 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1213D,HUB₂,|HUB₂×UD|,𒄽,LAK476 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY066 [Standard Babylonian (any period) | Akkadian syllabary]; RSP425 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK474 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY065 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL445 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU281 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES249 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL222 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL049 [Hittite period (~1650–1180 BCE) | Hittite]; MZL149 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE273 [Early Dynastic (~2900–2340 BCE) | Ebla]; SLLHA088 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA056 [Standard Babylonian (any period) | Akkadian syllabary]
U+12561 [unverified],ILIMMU,9(DIŠ@c),𒕡,ABZL480 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL375 [Hittite period (~1650–1180 BCE) | Hittite]; MZL868 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA598e [Standard Babylonian (any period) | Akkado-Babylonian]
U+12187,KA,|KA×U|,𒆇,LAK319 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; HZL141 [Hittite period (~1650–1180 BCE) | Hittite]; MZL056 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA031n1 [Standard Babylonian (any period) | Akkado-Babylonian]; LAK318 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY015 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL312 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU233 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES182 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL141 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL133 [Hittite period (~1650–1180 BCE) | Hittite]; KWU414 [Ur III (~2112–2004 BCE) | Administrative]; MZL024 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE167 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP197 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA015 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA013 [Standard Babylonian (any period) | Akkadian syllabary]
U+12189,KA,|KA×UD|,𒆉,HZL143 [Hittite period (~1650–1180 BCE) | Hittite]; MZL051 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA028 [Standard Babylonian (any period) | Akkado-Babylonian]; LAK318 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY015 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL312 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU233 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES182 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL141 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL133 [Hittite period (~1650–1180 BCE) | Hittite]; KWU414 [Ur III (~2112–2004 BCE) | Administrative]; MZL024 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE167 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP197 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA015 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA013 [Standard Babylonian (any period) | Akkadian syllabary]
