unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+12030,|(AN.NAGA)@(AN.NAGA)|,|(SUM.IR)@(SUM.IR)|,𒀰,SLLHA165v [Standard Babylonian (any period) | Akkado-Babylonian]
U+12032,ANŠE,KIŠ,𒀲,LAK240 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY247 [Standard Babylonian (any period) | Akkadian syllabary]; LAK253 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL292 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU161a [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU161c [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES140 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL167 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL302 [Hittite period (~1650–1180 BCE) | Hittite]; KWU460 [Ur III (~2112–2004 BCE) | Administrative]; MZL353 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE134 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP466 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA208 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12032,ANŠE,LAK239,𒀲,LAK239 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK253 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL292 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU161a [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU161c [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES140 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL167 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL302 [Hittite period (~1650–1180 BCE) | Hittite]; KWU460 [Ur III (~2112–2004 BCE) | Administrative]; MZL353 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE134 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP466 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA208 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12032,ANŠE,LAK240,𒀲,GCSL119 [Gudea period (~2100 BCE) | Lagash / Girsu]; LAK253 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL292 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU161a [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU161c [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES140 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL167 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL302 [Hittite period (~1650–1180 BCE) | Hittite]; KWU460 [Ur III (~2112–2004 BCE) | Administrative]; MZL353 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE134 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP466 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA208 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12032,ANŠE,LAK248@g,𒀲,LAK253 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL292 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU161a [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU161c [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES140 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL167 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL302 [Hittite period (~1650–1180 BCE) | Hittite]; KWU460 [Ur III (~2112–2004 BCE) | Administrative]; MZL353 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE134 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP466 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA208 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12032,ANŠE,LAK248b,𒀲,LAK248^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK253 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL292 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU161a [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU161c [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES140 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL167 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL302 [Hittite period (~1650–1180 BCE) | Hittite]; KWU460 [Ur III (~2112–2004 BCE) | Administrative]; MZL353 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE134 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP466 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA208 [Standard Babylonian (any period) | Akkado-Babylonian]
,|ANŠE.IGI.EŠ₂|,|IGI.EŠ₂|,𒀲𒅆𒂠,LAK434 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU244 [Early Dynastic (~2900–2340 BCE) | Lagash]; PTACE204 [Early Dynastic (~2900–2340 BCE) | Ebla]
U+12038,AŠ,AŠ@c@90,𒀸,LAK001 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK839^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK855^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY001 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL001 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU001 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES001 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL001 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL001 [Hittite period (~1650–1180 BCE) | Hittite]; MZL001 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE001 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP001 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA001 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA001 [Standard Babylonian (any period) | Akkadian syllabary]; RSP024 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12038,AŠ,AŠ@c@v,𒀸,LAK001 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK839^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK855^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY001 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL001 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU001 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES001 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL001 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL001 [Hittite period (~1650–1180 BCE) | Hittite]; MZL001 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE001 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP001 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA001 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA001 [Standard Babylonian (any period) | Akkadian syllabary]; RSP024 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12038,AŠ,AŠ@v,𒀸,LAK001 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK839^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK855^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY001 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL001 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU001 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES001 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL001 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL001 [Hittite period (~1650–1180 BCE) | Hittite]; MZL001 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE001 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP001 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA001 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA001 [Standard Babylonian (any period) | Akkadian syllabary]; RSP024 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12043,BAHAR₂,EDIN,𒁃,LAK747 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY118 [Standard Babylonian (any period) | Akkadian syllabary]; ELLES365 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL306 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE293 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP433 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; RSP435 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK742 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL086 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU370 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES364 [Early Dynastic (~2900–2340 BCE) | Ebla]; PTACE292 [Early Dynastic (~2900–2340 BCE) | Ebla]
U+12047,BAR,AŠ,𒁇,LAK001 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK820^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK839^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK855^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY001 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL001 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU001 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES001 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL001 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL001 [Hittite period (~1650–1180 BCE) | Hittite]; MZL001 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE001 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP001 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA001 [Standard Babylonian (any period) | Akkado-Babylonian]; LAK752 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY048 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL057 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU252 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES367 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL308 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL020 [Hittite period (~1650–1180 BCE) | Hittite]; KWU671 [Ur III (~2112–2004 BCE) | Administrative]; MZL121 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE306 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP044 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA074 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA041 [Standard Babylonian (any period) | Akkadian syllabary]
,|BAR.AN|,|BAR×AN|,𒁇𒀭,LAK753 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; KWU674 [Ur III (~2112–2004 BCE) | Administrative]; PTACE307 [Early Dynastic (~2900–2340 BCE) | Ebla]; MZL123 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA074_182 [Standard Babylonian (any period) | Akkado-Babylonian]
,|BAR×TAB|,BAR@g,,LAK131 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]
