unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+12034,𒀴,arad,ARAD,...KI | ...ki | ARAD | ARDA | ER3 | ERAD | ERI3 | ERU | ERUM | IR3 | IRDA | NINTAH2 | NINTAX(ARAD) | NITA2 | NITAH2 | SUBARRUMX(ARAD) | SUBURX(ARAD) | URDA | URDU | WAR3 | WARDU | arad | arda | er3 | erad | eri3 | eru | erum | ir3 | irda | nintah2 | nintax(ARAD) | nita2 | nitah2 | subarrumx(ARAD) | suburx(ARAD) | urda | urdu | war3 | wardu | ŠUBUR2 | šubur2
U+12035,𒀵,arad × kur,ARAD×KUR,/ĜEREŠ/ | /ĝereš/ | ARAD2 | ARAD×KUR | GE24 | GEME3 | GEREŠ3 | GIRIŠ3 | IR11 | KIRAŠ | NITAX(|ARAD×KUR|) | URDA2 | URDU2 | arad2 | ge24 | geme3 | gereš3 | giriš3 | ir11 | kiraš | nitax(|ARAD×KUR|) | urda2 | urdu2
U+12036,𒀶,arkab,GAR.IB,ARGAB | ARKAB | GAR.IB | IRKAB | argab | arkab | irkab
U+12037,𒀷,asal₂,A.TU.GABA.LIŠ,A.TU.GABA.LIŠ | ASAL2 | ASAR2 | AZALX(|A.TU.GABA.LIŠ|) | AŠALX(|A.TU.GABA.LIŠ|) | AŠAR2 | asal2 | asar2 | azalx(|A.TU.GABA.LIŠ|) | ašalx(|A.TU.GABA.LIŠ|) | ašar2
U+12038,𒀸,ash,AŠ,1AŠ | 1aš | ANA3 | AS3 | AZ3 | AŞ3 | AŠ | AŠA | AŠŠA | DAL3 | DEL | DELE | DELI | DEŠ2 | DIL | DILI | DIŠ2 | EŠ18 | EŠ20 | GE15 | GEŠ4 | IN6 | INA | LIRI2 | LIRU2 | LIRUM2 | MAKAŠ2 | MAKKAŠ2 | RAM2 | RIM5 | RU3 | RUM | SAGTAG | SAGTAK | SALUGUB | SANTA | SANTAG | SANTAK | SAĜTAK | SIMED | TAL3 | TEŠ | TIL4 | ZUX(AŠ) | ana3 | as3 | az3 | aş3 | aš | aša | ašša | dal3 | del | dele | deli | deš2 | dil | dili | diš2 | eš18 | eš20 | ge15 | geš4 | in6 | ina | liri2 | liru2 | lirum2 | makaš2 | makkaš2 | ram2 | rim5 | ru3 | rum | sagtag | sagtak | salugub | santa | santag | santak | saĝtak | simed | tal3 | teš | til4 | zux(AŠ) | ŠUP2 | šup2 | ŢIL | ţil
U+1203E,𒀾,ash₂,AŠ2,AS2 | ASA2 | AZ2 | AŚ | AŞ2 | AŠ2 | AŠA2 | BAEŠ | BANEŠ | DAŠ3 | DEŠŠU | TAŠ3 | UD2 | UDEŠŠU | UT2 | UTU5 | as2 | asa2 | az2 | aś | aş2 | aš2 | aša2 | baeš | baneš | daš3 | deššu | taš3 | ud2 | udeššu | ut2 | utu5
U+1203F,𒀿,ashgab,AŠGAB,AŠGAB | ERIB | IRIB | ašgab | erib | irib | ŠIGAGU | ŠIKANGU | šigagu | šikangu
U+12040,𒁀,ba,BA,BA | BE4 | BI6 | LIBIT | PA2 | WA2 | ba | be4 | bi6 | libit | pa2 | wa2
U+12041,𒁁,bad,BAD,BA9 | BAD | BADA | BARA4 | BAT | BATA | BAŢ | BE | BI4 | BID2 | DIHI | DIM7 | EDIM | EŠ7 | IDIN | MAT2 | ME4 | MIT | MITU | MIŢ | MUD2 | MUT2 | PAD2 | PAT2 | PAX(BAD) | PAŢ2 | PE3 | PI3 | QIT3 | SUGIN | SUNGIN | TI5 | TILE | ULAL | ZAR5 | ZARA5 | ZAZ | ZIS | ZIZ | ZU4 | ZURU9 | ba9 | bad | bada | bara4 | bat | bata | baţ | be | bi4 | bid2 | dihi | dim7 | edim | eš7 | idin | mat2 | me4 | mit | mitu | miţ | mud2 | mut2 | pad2 | pat2 | pax(BAD) | paţ2 | pe3 | pi3 | qit3 | sugin | sungin | ti5 | tile | ulal | zar5 | zara5 | zaz | zis | ziz | zu4 | zuru9 | ŞIŞ | şiş | ŢIL2 | ţil2
U+12042,𒁂,bag₃,BAG3,BAG3 | BAK3 | bag3 | bak3
U+12043,𒁃,bahar₂,BAHAR2,/ALLURA/ | /allura/ | ALURX(BAHAR2) | BAHAR2 | LIL7 | LILLU | MUŠTAPTIN | NUNURRA | NUNURRU | alurx(BAHAR2) | bahar2 | lil7 | lillu | muštaptin | nunurra | nunurru
U+12044,𒁄,bal,BAL,BAL | BALA | BALAK | BUL3 | KULX(BAL) | PAL | PALA4 | PUL3 | bal | bala | balak | bul3 | kulx(BAL) | pal | pala4 | pul3
U+12046,𒁆,balag,BALAG,BALAG | BALAĜ | BULUG5 | BULUNX(BALAG) | BULUĜ5 | BUM2 | GUD10 | GUDU10 | LUMHA | TAKA\+ | balag | balaĝ | bulug5 | bulunx(BALAG) | buluĝ5 | bum2 | gud10 | gudu10 | lumha | taka\+
U+12047,𒁇,bar,BAR,BA15 | BAR | BARA | BARE | PAR2 | PARA2 | SUTU | WAR | ba15 | bar | bara | bare | par2 | para2 | sutu | war
U+12048,𒁈,bara₂,BARA2,BAR2 | BARA2 | BARAG | PAR6 | PARA10 | PARAG | bar2 | bara2 | barag | par6 | para10 | parag | ŠA23 | ŠAR6 | ŠARA | ša23 | šar6 | šara
U+12049,𒁉,bi,BI,BE2 | BI | BIZ | DUGX(BI) | EBIRX(BI) | EPIR2 | EŠEMEN5 | EŠEMIN5 | GAŠ | HUBURX(BI) | KA8 | KAS2 | KAŞ | KAŠ | PE2 | PI2 | SA18 | SIRIS4 | SU15 | be2 | bi | biz | dugx(BI) | ebirx(BI) | epir2 | ešemen5 | ešemin5 | gaš | huburx(BI) | ka8 | kas2 | kaş | kaš | pe2 | pi2 | sa18 | siris4 | su15 | ŠA21 | ŠU13 | ša21 | šu13
U+1204A,𒁊,bi × a,BI×A,BI×A
U+1204B,𒁋,bi × gar,BI×GAR,BAPPIR3 | BAPPIRA3 | BI×GAR | LUNGAX(|BI×GAR|) | bappir3 | bappira3 | lungax(|BI×GAR|)
U+1204C,𒁌,bi × igi gunu,BI×IGI@g,BI×IGI@G | BI×IGI@g | ŠEMBI3 | ŠIMBI3 | šembi3 | šimbi3
U+1204D,𒁍,bu,BU,BU | BUR12 | DIM13 | DUL10 | DUR7 | GAZIBU | GAZIMBI | GAZINBI | GAZINBU | GI27 | GID2 | GIDA2 | GIDI3 | GIDIM3 | GIM7 | GIT2 | GIŢ2 | GUZ2 | ILDUMX(BU) | KID10 | KIM3 | KIT10 | MADAL | MADLA | MADLU | MALLA | MUDLA | MUDLU | MUDRA3 | MUDRU3 | MUDUL | MULLA | MULLU | NUN3 | PI8 | PU | QID2 | QIT2 | RA5 | SIR2 | SIX(BU) | SU13 | SUD4 | SUGX(BU) | SURX(BU) | SUŠ3 | TUR8 | bu | bur12 | dim13 | dul10 | dur7 | gazibu | gazimbi | gazinbi | gazinbu | gi27 | gid2 | gida2 | gidi3 | gidim3 | gim7 | git2 | giţ2 | guz2 | ildumx(BU) | kid10 | kim3 | kit10 | madal | madla | madlu | malla | mudla | mudlu | mudra3 | mudru3 | mudul | mulla | mullu | nun3 | pi8 | pu | qid2 | qit2 | ra5 | sir2 | six(BU) | su13 | sud4 | sugx(BU) | surx(BU) | suš3 | tur8 | ŠAŠKI | ŠAŠKU | ŠER2 | ŠIR2 | ŠUD2 | šaški | šašku | šer2 | šir2 | šud2
U+12051,𒁑,bulug,BULUG,BU9 | BULUG | BULUĜ | MAGAR | MAGARA | MANGARA | MUŠ6 | NAGARX(BULUG) | NIĜINX(BULUG) | bu9 | bulug | buluĝ | magar | magara | mangara | muš6 | nagarx(BULUG) | niĝinx(BULUG)
U+12053,𒁓,bur,BUR,BUR | BURU | LIMX(BUR) | PUR | PURU | bur | buru | limx(BUR) | pur | puru
U+12054,𒁔,bur₂,BUR2,BAL2 | BU8 | BUL2 | BULUG2 | BUR2 | BURU2 | DU9 | DUN5 | PUL2 | SU16 | SUN5 | UŠU | UŠUM | bal2 | bu8 | bul2 | bulug2 | bur2 | buru2 | du9 | dun5 | pul2 | su16 | sun5 | ušu | ušum | ŠUM5 | šum5
U+12055,𒁕,da,DA,AX(DA) | DA | DIX(DA) | DU20 | IDI3 | LE10 | LI10 | TA2 | ax(DA) | da | dix(DA) | du20 | idi3 | le10 | li10 | ta2 | ŢA | ţa
U+12056,𒁖,dag,DAG,BAR3 | BARA3 | BARAG2 | DA8 | DAG | DAK | DAQ | PAR3 | PARA3 | TAG2 | TAK2 | TAQ2 | bar3 | bara3 | barag2 | da8 | dag | dak | daq | par3 | para3 | tag2 | tak2 | taq2 | ŢAK | ţak
U+1206E,𒁮,dam,DAM,DA4 | DAM | DAMA | DUM3 | LAM3 | TA4 | TAM2 | TUM10 | da4 | dam | dama | dum3 | lam3 | ta4 | tam2 | tum10 | ŢA4 | ŢAM | ţa4 | ţam
